titles,genre,developers,publishers
Fighting Illusion V: K-1 Grand Prix '99,Daft,Xing Entertainment,"September 30, 1999"
Fighting Network RINGS,Naxat Soft,Naxat Soft,"August 7, 1997"
Final Doom,Williams Entertainment,GT Interactive,Unreleased
Final Fantasy I•Final Fantasy OriginsPALNA,Square,Squaresoft,"October 31, 2002"
Final Fantasy II•Final Fantasy OriginsPALNA,Square,Square,"October 31, 2002"
Final Fantasy IV,Square,Square,"March 21, 1997"
Final Fantasy V,Square,Squaresoft,"March 19, 1998"
Final Fantasy VI,Tose,SCEE,"March 11, 1999"
Final Fantasy VII,Square,"SCEEPAL, Square Co., Ltd.JP, SCEANA","January 31, 1997"
Final Fantasy VIII,Square,"SCEEPAL, Square Co., Ltd.JP, Square Electronic ArtsUS","February 11, 1999"
Final Fantasy IX,Square,"SCEEPAL, Square Co., Ltd.JP, Square Electronic ArtsUS","July 7, 2000"
Final Fantasy Tactics,SquareSoft,"SquareSoftJP, SCEANA","June 20, 1997"
Final Round,Atlus,Atlus,"March 12, 1998"
The Final Round•Konami Open GolfEU,Konami,Konami,"June 21, 1996"
Finger Flashing,Affect,Affect,"July 15, 1999"
The Firemen 2: Pete & Danny,Human Entertainment,Human Entertainment,"December 22, 1995"
Fire ProWrestling G,S-Neo,Human Entertainment,"June 24, 1999"
Fire Pro Wrestling: Iron Slam '96,Human Entertainment,Human Entertainment,"March 15, 1996"
Firebugs,Attention to Detail,Sony Computer Entertainment,Unreleased
Firestorm: ThunderHawk 2•ThunderStrike 2NA,Core Design,Core Design Victor Interactive SoftwareJP,"May 24, 1996"
Fire Woman Matoigumi,HuneX,Tokuma Shoten,"March 26, 1998"
Firo & Klawd,Interactive Studios,BMG Interactive,"June 13, 1997"
First Kiss Story,HuneX,Human Entertainment,"April 24, 1998"
First Queen IV: Varcia Senki,Kure,Kure,"December 6, 1996"
Fish On! Bass,Pony Canyon,Pony Canyon,"September 22, 1999"
Fisherman's Bait: A Bass Challenge•Exciting BassJP,Konami,Konami,"September 23, 1998"
Fisherman's Bait 2: Big Ol' Bass•Exciting Bass 2JP,Konami,Konami Computer Entertainment Nagoya,"September 30, 1999"
Fishing Club: Boat no Tsuriken,Success,Success,"August 24, 2000"
Fishing Club: Bouhatei no Tsuriken,Success,Success,"August 24, 2000"
Fishing Club: Hama no Tsuriken,Success,Success,"August 24, 2000"
Fishing Freaks: BassRise Plus,Bandai,Bandai,"February 3, 2000"
Fishing Koushien II,A-Wave,King Records,"September 22, 1999"
FIST,Genki,Imagineer,"November 22, 1996"
Flamberge no Seirei,Kid,Kid,"April 27, 2000"
The Flintstones: Bedrock Bowling,Adrenalin Interactive,Ubisoft,Unreleased
Floating Runner,Kokopel,THQ,"January 19, 1996"
Flying Squadron,Naps Team,Phoenix Games,Unreleased
Football Madness,Naps Team,Phoenix Games,Unreleased
Ford Racing,Toolbox Design,Empire Interactive,Unreleased
Ford Truck Mania,"Alpine Studios, Inc.",Gotham Games,Unreleased
Forget Me Not: Palette,Enterbrain,Enterbrain,"April 26, 2001"
Formation Soccer '97: The Road To France,Human Entertainment,Human Entertainment,"June 27, 1997"
Formation Soccer '98: Ganbare Nippon in France,Human Entertainment,Human Entertainment,"June 4, 1998"
Formula 1,Bizarre Creations,Psygnosis,Unreleased
Formula 1 98,Visual Sciences,Psygnosis,Unreleased
"Formula 1: Championship Edition•Formula 1 97EU,JP",Bizarre Creations,Psygnosis,"January 15, 1998"
Formula Circus,Nihon Bussan,Nihon Bussan,"May 2, 1997"
Formula GP,Kung Fu Games,Midas Interactive,Unreleased
Formula Grand Prix: Team Unei Simulation 2 - 1997 Han,Tomcat System,Coconuts Japan,"December 25, 1997"
Formula Karts Special Edition,Manic Media Productions,Telstar Electronic Studios,Unreleased
Formula Nippon '99JPFormula NipponPAL,TYO,TYOJPEONPAL,"September 9, 1999"
Formula One 99,Studio 33,Psygnosis/SCEE,"October 21, 1999"
Formula One 2000,Studio 33,SCEE,Unreleased
Formula One 2001,Studio 33,SCEE,Unreleased
Formula One Arcade,Studio 33,SCEE,Unreleased
Forsaken,Probe Entertainment,Acclaim,Unreleased
Fox Hunt,3Vision Games,Capcom,Unreleased
Fox Junction,Trips,Trips,"April 29, 1998"
FoxKids.com Micro Maniacs RacingNA•Denku Sekka Micro RunnerJP•Micro ManiacsPAL,Codemasters,THQ,"November 2, 2000"
Fox Sports Soccer '99,Gremlin Interactive,Fox Interactive,Unreleased
Frank Thomas Big Hurt Baseball,Iguana Entertainment,Acclaim,"September 13, 1996"
Freestyle Boardin' '99•Phat Air: Extreme SnowboardingPAL•Zap! Snowboarding Trix '98JP,Atelier Double,"Capcom, FunsoftPAL, Pony CanyonJP","December 25, 1997"
Freestyle Motocross: McGrath vs. Pastrana,Z-Axis,Acclaim,Unreleased
Free Talk Studio: Mari no Kimamana Oshaberi,Media Entertainment,Media Entertainment,"September 25, 1997"
Frenzy!,SCI Entertainment Group,SCI,Unreleased
Frisky Tom,Nichibutsu,Hamster Corporation,"July 25, 2002"
Frogger,SCE Studio Cambridge,Hasbro Interactive,Unreleased
Frogger 2: Swampy's Revenge,Blitz Games,Hasbro Interactive,Unreleased
From TV Animation - One Piece: Grand Battle!,Ganbarion,"AtariPAL, BandaiJP","March 15, 2001"
From TV Animation - One Piece: Grand Battle! 2,Ganbarion,Bandai,"March 20, 2002"
Front Mission 1st,"Square, G-Craft",Square,"October 23, 2003"
Front Mission 2,Square,Square,"September 25, 1997"
Front Mission 3,Square,"Square Europe (European Release), Square Electronic Arts (USA Release), Square Co., Ltd. (Japanese Release)","September 2, 1999"
Front Mission: Alternative,Square,Square,"December 18, 1997"
Fun! Fun! Pingu,Sony Music Entertainment Incorporated,Sony Music Entertainment Incorporated,"November 18, 1999"
Furimukeba Tonari Ni,Zero System,Zero System,"April 26, 2001"
Fushigi Deka,Capcom,Capcom,"October 26, 2000"
Fushigi no Kuni no Angelique,Koei,Koei,"February 28, 1997"
Future Cop: LAPD,Electronic Arts,Electronic Arts,"August 5, 1999"
Future RacerPAL•Defeat LightningJP,D Cruise,"Midas InteractivePAL, D CruiseJP","May 23, 1997"
Fuuraiki,Fog,Fog,"January 18, 2001"
Fuuun Gokuu Ninden,Aicom,Aicom,"August 30, 1996"
G-Darius,Taito Corporation,THQ,"April 9, 1998"
G-O-D Pure: Growth or Devolution,Infinity,Imagineer,"February 26, 1998"
G-Police,Psygnosis,Psygnosis,"November 19, 1998"
G-Police: Weapons of Justice,Psygnosis,Psygnosis,Unreleased
G1 Jockey,Koei,Koei,"March 11, 1999"
G1 Jockey 2000,Koei,Koei,"February 3, 2000"
Gaball Screen,System Sacom,Antinos Records,"December 6, 1996"
Gadget: Past as Future,Synergy Inc.,Synergy Inc.,"November 27, 1997"
Gaia Master,Nexus Interact,Capcom,"April 13, 2000"
GaiaSeed: Project Seed Trap,Techno Soleil,Techno Soleil,"December 13, 1996"
Gakkou Deatta Kowai Hanashi S,Pandora Box,Banpresto,"July 19, 1996"
Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,Capcom,Capcom,"August 11, 1995"
Gakkou o Tsukurou!!,Refine Textile,Victor Interactive Software,"December 18, 1997"
Gakkou o Tsukurou!! 2,Groove Box Japan,Victor Interactive Software,"December 10, 1998"
Gakkou o Tsukurou!! Kouchou Sensei Monogatari,Groove Box Japan,Victor Interactive Software,"October 26, 1998"
Gakuen Sentai Solblast,Caravan,Creative Heads,"February 4, 1999"
Galaga: Destination Earth,King of the Jungle,Hasbro Interactive,Unreleased
Galaxian³,High-Tech Lab Japan,Namco,"April 26, 1996"
Galaxy Fight: Universal WarriorsJP•Galaxy FightPAL,Sunsoft,Sunsoft,"May 3, 1996"
Gale Gunner,ASCII,ASCII,"February 24, 2000"
Galeoz,Pre Stage,Atlus,"December 20, 1996"
Galerians,Polygon Magic,"ASCII EntertainmentJP, Crave EntertainmentPAL,NA","August 26, 1999"
Gallop Racer,Tecmo,Tecmo,"September 27, 1996"
Gallop Racer 2: The One and Only Road to Victory,Tecmo,Tecmo,"November 20, 1997"
Gallop Racer 3: The One and Only Road to VictoryJP•Gallop RacerNA,Tecmo,Tecmo,"March 18, 1999"
Gallop Racer 2000,Tecmo,Tecmo,"February 17, 2000"
Gambler Jiko Chuushinha: Ippatsu Shoubu!,Game Arts,ESP Software,"June 22, 2000"
Game de Seishun,Kid,Kid,"April 23, 1998"
Game de wa Jimeru TOEIC Test Mazuha Nyuumonhen1500,Graphic Research,Nagase Brothers,"June 5, 2003"
The Game Maker: Ureure 100 Manpon Gettodaze!,Kuusou Kagaku,Axela,"September 23, 1997"
Game Nihonshi: Kakumeiji Oda Nobunaga,Koei,Koei,"April 11, 1997"
Game no Tatsujin,Affect,Sunsoft,"June 9, 1995"
Game no Tatsujin 2,Chat Noir,Sunsoft,"January 10, 1997"
Game no Tatsujin: The Shanghai,Activision,Sunsoft,"October 13, 1995"
The Game of Life,The Collective,Hasbro Interactive,Unreleased
Game Soft o Tsukurou,Imagineer,Imagineer,"January 28, 1999"
Gamera 2000,Surveyor Corp,Virgin Interactive,"April 25, 1997"
Ganba no Bouken: The Puzzle Action,Ooparts,Bandai,"April 3, 2003"
Ganbare Goemon: Kuru Nara Koi! Ayashige Ikka no Kuroi Kage,Konami Computer Entertainment Nagoya,Konami,"December 23, 1998"
Ganbare Goemon: Ōedo Daikaiten,"Konami Computer Entertainment Kobe,Now Production",Konami,"March 29, 2001"
Ganbare Goemon: Uchū Kaizoku Akogingu,Konami,Konami,"March 22, 1996"
Gangway Monsters,SCEI,SCEI,"October 15, 1998"
Ganso! Doubutsu Uranai / Renai Uranai Puzzle,Culture Brain,Culture Brain,"June 30, 2001"
Ganso Family Mahjong,Nichibutsu,Nichibutsu,"May 7, 1998"
Ganso Family Mahjong 2,Nichibutsu,Nichibutsu,"June 3, 1999"
GateKeepers,Kadokawa,Kadokawa,"December 16, 1999"
Gauntlet Legends,Midway Games,Midway Games,Unreleased
Gear Senshi Dendoh,Natsume,Bandai,"April 26, 2001"
Gegege no Kitarō: Gyakushuu! Youkai Daichisen,Konami,Konami,"December 11, 2003"
Gegege no Kitarō: Noroi no Nikuto Katachi Tachi,Bandai,Bandai,"January 24, 1997"
Gekido•Gekido: Urban FightersPAL,Naps Team,Infogrames,Unreleased
Gekioh: Shooting King,Warashi,Natsume,"May 20, 1999"
Gekiretsu Pachinkazu,Planning Office Wada,Planning Office Wada,"February 21, 1997"
Gekisou TomaRunner,SCEI,SCEI,"July 22, 1999"
Gekitotsu Toma L'Arc: Tomarunner vs L'Arc-en-Ciel,SCEI,SCEI,"July 19, 2000"
Gekitou! Crush Gear Turbo,Bandai,Bandai,"July 25, 2002"
Gekka Ni no Kishi: O Ryusen,Banpresto,Banpresto,"September 13, 1996"
Genei Tougi: Shadow Struggle,Racdym,Banpresto,"September 20, 1996"
Genghis Khan: Aoki Ookami to Shiroki Mejika IV,Koei,Koei,"February 25, 1999"
Gensō Suikogaiden Vol. 1: Harmonia no Kenshi,KCET,Konami,"September 21, 2000"
Gensō Suikogaiden Vol. 2: Crystal Valley no Kettou,Konami,Konami,"March 22, 2001"
Gensou Maden Saiyuuki: Harukanaru Nishi e,J-Wing,J-Wing,"December 26, 2002"
Gensou no Artemis: Actress School Mystery Adventure,Shoeisha,Shoeisha,"January 27, 2000"
Geom Cube,Technos Japan,"JP Technos Japan, NA Technos","December 22, 1994"
Geometry Duel,Takara,Takara,"October 29, 1998"
Germs,KAJ,KAJ,"July 22, 1999"
GetBackers Dakkanya,Konami,Konami,"July 26, 2001"
Getter Robo Daikessen!,TechnoSoft,Bandai,"September 9, 1999"
Gex,Crystal Dynamics,Crystal Dynamics,"March 8, 1996"
Gex: Enter the Gecko•Gex 3D: Enter the GeckoUK•Gex 3D: Return of the GeckoPAL•SpinTailJP,Crystal Dynamics,"Midway GamesNA,Crystal DynamicsPAL",Unreleased
Gex 3: Deep Cover Gecko•Gex: Deep Cover GeckoPAL,Eidos Interactive,Crystal Dynamics,Unreleased
Ghost in the Shell,"Exact Co., Ltd.","THQNA, Sony Computer Entertainment","July 17, 1997"
Ghoul Panic,"Eighting,Raizing","NamcoJP, SCEEPAL","April 20, 2000"
Ginga Eiyuu Densetsu,Microvision,Tokuma Shoten,"May 28, 1998"
Ginga Ojousama Densetsu Yuna: Final Edition,Hudson,Hudson,"June 25, 1998"
Gionbana,Nichibutsu,Nihon Bussan,"December 15, 1995"
Gionbana 2,Nichibutsu,Nihon Bussan,"February 4, 1999"
Glint Glitters,Konami,Konami,"July 20, 1999"
Global Domination,Psygnosis,Psygnosis,Unreleased
Global Force: Shin Sentou Kokka,Marionette,SCEI,"March 11, 1999"
Glocal Hexcite,Soliton,Locus,"December 22, 1999"
Glover,Interactive Studios Ltd.,Hasbro Interactive (Under the Atari Interactive Label),Unreleased
Goal Storm,Konami,Konami,"March 15, 1996"
Goal Storm '97•International Superstar Soccer ProEU•World Soccer Winning Eleven '97JP,Konami,Konami,"June 5, 1997"
Gochachiru,Pandora Box,Pandora Box,"October 19, 2000"
Godzilla Trading Battle,Toho,Toho,"December 3, 1998"
Goemon: Shin Sedai Shūmei!,Konami,Konami,"December 20, 2001"
Go II Professional Taikyogu Igo,Mycom,Mycom,"December 27, 1996"
Go-Jin Senki,Santa Entertainment,Tonkin House,"August 6, 1998"
GoGo I-land,Kid,Kid,"December 14, 2000"
Goiken Muyou II,Mediamuse,KSS,"October 29, 1998"
Gokujou Parodius Da! Deluxe Pack•ParodiusPAL,KCET,Konami,"December 3, 1994"
Gokuu Densetsu: Magic Beast WarriorsI,Mediamuse,KSS,"May 26, 1995"
Gold and Glory: The Road to El Dorado,Revolution Software,Ubisoft,Unreleased
Golden Nugget,Hasbro Interactive,Virgin Interactive,Unreleased
Goldie,Midas Interactive,Midas Interactive,Unreleased
Goo! Goo! Soundy,Konami,Konami,"September 22, 1999"
Goofy's Fun House,The Code Monkeys,NewKidCo,Unreleased
Googootrops,Produce,Enix,"January 28, 1999"
Goryujin + Electro,Produce,Enix,"October 29, 1998"
Gotha II: Tenkuu no Kishi,"Micronet co., Ltd.",Koei,"July 12, 1996"
Gotouchi Hello Kitty Sugoroku Monogatari,Bandai,Bandai,"June 19, 2003"
Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,Atlus,Atlus,"October 20, 1995"
Gourmet Action Game: Manpuku!! Nabe Kazoku,Media Entertainment,Media Entertainment,"January 31, 2002"
GP Challenge,Midas Interactive,Midas Interactive,Unreleased
Gradius Deluxe Pack,KCET,Konami,"March 29, 1996"
Gradius Gaiden,KCET,Konami,"August 28, 1997"
Gran Turismo,Polyphony Digital,Sony Computer Entertainment,"December 23, 1997"
Gran Turismo 2,Polyphony Digital,Sony Computer Entertainment,"December 11, 1999"
Grand Slam,Burst Studios,Virgin Interactive,Unreleased
Grand Theft Auto,DMA Design,"BMG Interactive, ASC Games","April 27, 1999"
Grand Theft Auto 2,DMA Design,Rockstar Games,Unreleased
Grand Theft Auto: London 1969 (Expansion),Rockstar Canada,Rockstar Games,Unreleased
Grandia,Game Arts,Ubisoft,"June 24, 1999"
Granyuu-shima! Daibouken,Shuwa System,Shuwa System,"October 15, 1998"
The Granstream Saga•Granstream Denki: The Granstream SagaJP,Shade,"SCEIJP, THQNA, ARC EntertainmentPAL","November 6, 1997"
The Great Battle VI,Aspect,Banpresto,"April 11, 1997"
Great Hits,Enix Corporation,Enix Corporation,"October 29, 1998"
Grid Runner,Radical Entertainment,Virgin Interactive,Unreleased
Grille Logic,Shoeisha,Shoeisha,"January 26, 1996"
The Grinch,Artificial Mind and Movement,Konami,Unreleased
Grind Session,Shaba Games,SCEA,Unreleased
Gritz: The Primordial Adventure,Sanyo,Sanyo,"May 30, 1997"
Groove Adventure Rave: Mikan no Hiseki,WinkySoft,Konami,"August 29, 2002"
Groove Adventure Rave: Plue no Daibouken,Aspect,Konami,"July 25, 2002"
Groove Adventure Rave: Yuukyuu no Kizuna,Konami,Konami,"January 31, 2002"
Growlanser,Career Soft,Atlus,"November 25, 1999"
Grudge Warriors,Take-Two Interactive,Tempest Software,Unreleased
GT Kai: All Japan Grand Touring Car Championship,Kaneko,Kaneko,"February 23, 1996"
GT Max Rev.: All Japan Grand Touring Car Championship,Kaneko,Kaneko,"February 28, 1997"
The Guardian of Darkness,Cryo Interactive,Cryo Interactive,Unreleased
Guardian Recall,Tsuji Jimusho,Xing,"October 1, 1998"
Guardian's Crusade,Tamsoft,"TamsoftJP, ActivisionPAL,NA","September 23, 1998"
Gubble,Mad Duck Productions,"Mad Duck Productions, Midas Interactive Entertainment","September 17, 1998"
Guilty Gear,Arc System Works,Atlus,"May 14, 1998"
Guitar Freaks,Konami,Konami,"July 29, 1999"
Guitar Freaks Append 2nd Mix,Konami,Konami,"February 24, 2000"
GunBare! Game Tengoku 2,Jaleco Entertainment,Jaleco Entertainment,"March 19, 1998"
Gundam 0079: The War for Earth,Presto Studios,Bandai,"May 2, 1997"
Gundam: Battle Assault,Natsume,Bandai,"March 12, 1998"
Gundam: Battle Assault 2,Natsume,Bandai,"March 12, 1998"
Gundam: The Battle Master,Natsume,Bandai,"June 20, 1997"
Gundam: Char's Counterattack,Bandai,Bandai,"December 17, 1998"
GunDress,Starfish,Starfish,"February 24, 2000"
Gunfighter: The Legend of Jesse James,Natsume,Bandai,Unreleased
Gung Ho Brigade,Tomy Corporation,Tomy Corporation,"October 19, 2000"
Gungage,KCET,Konami,"June 3, 1999"
Gunnm: Martian Memory,Yukito Products,Banpresto,"August 27, 1998"
Gunparade March,Alfa System,SCEI,"September 28, 2000"
Gunpey,TOSE,Bandai,"December 16, 1999"
Gunship,MicroProse,MicroProse,Unreleased
"Guntu Western Front June, 1944","Electrocoin Japan Co., Ltd.","Electrocoin Japan Co., Ltd.","November 27, 1997"
Guruguru Town Hanamarukun,Atlus,Atlus,"December 14, 2000"
Gussun Oyoyo,Xing Entertainment,Xing Entertainment,"April 28, 1995"
Gute Zeiten Schlechte Zeiten Quiz,Software 2000,Software 2000,Unreleased
Gute Zeiten Schlechte Zeiten Vol.2,Software 2000,Software 2000,Unreleased
Gute Zeiten Schlechte Zeiten Vol.3,Software 2000,Software 2000,Unreleased
Guucho de Park: Theme Park Monogatari,Make,Electronic Arts Victor,"December 13, 1996"
Hai-Shin 2,Aques,Aques,"March 26, 1998"
Hajime no Ippo: The Fighting!,Kodansha,Kodansha,"July 31, 1997"
Hakai Ou: King of Crusher,FAB Communications,FAB Communications,"November 12, 1998"
Hamster Club i,Jorudan,Jorudan,"February 28, 2002"
Hamster Monogatari,Culture Brain,Culture Brain,"December 21, 2000"
Hamster no Odaken,Shimada Kikaku,Kaga Tech,"February 22, 2001"
Hana to Ryuu,I'Max,I'Max,"August 13, 1998"
Hanabi Fantast,Magical Company,Magical Company,"July 16, 1998"
Hanafuda,Selen,Selen,"January 24, 2002"
Hanafuda (Hyper Value 2800),Konami,Konami,"January 13, 2000"
Hanafuda & Card Game,Yuki,DigiCube,"January 24, 2002"
Hanafuda Graffiti: Koi Koi Monogatari',I'Max,I'Max,"May 10, 1996"
Hanafuda II',Success,Success,"May 10, 1996"
Hanafuda Real 3D,Pony Canyon,Pony Canyon,"December 10, 1998"
Happy Diet,Twilight Express,Twilight Express,"April 26, 2001"
Happy Hotel,Tohoku Shinsha,Tohoku Shinsha,"November 27, 1997"
Happy Jogging in Hawaii,Twilight Express,Twilight Express,"November 29, 2001"
Happy Salvage,Media Works,Media Works,"August 31, 2000"
Hardball '99,Mindspan,Accolade,Unreleased
HardBall 5,SPS,"SPSJP, AccoladeNA","December 13, 1996"
Hard Blow,Electronic Arts Victor,Electronic Arts Victor,"July 31, 1997"
Hard Boiled,"Cryo Interactive, Sieg","Cryo Interactive, Sieg","July 30, 1998"
Hard Rock Cab,Asmik Ace,Asmik Ace,"February 16, 1996"
Harlem Beat: You're the One,Konami,Konami,"October 28, 1999"
Harmful Park,Sky Think Systems,Sky Think Systems,"February 14, 1997"
Harry Potter and the Chamber of Secrets,Argonaut Games,"EA Games, Electronic Arts, Electronic Arts Victor","November 23, 2002"
"Harry Potter and the Sorcerer's Stone•Harry Potter and the Philosopher's StoneJP,PAL",Argonaut Games,"Electronic Arts, Electronic Arts Victor","December 1, 2001"
Harukanaru Toki no Naka De,Koei,Koei,"April 6, 2000"
Harukanaru Toki no Naka de: Banjyou Yuugi,Koei,Koei,"June 26, 2003"
Harukaze Sentai V-Force,Ving,Ving,"November 15, 1996"
Harvest Moon: Back To Nature,Victor Interactive Software,"Victor Interactive Software, Natsume, Ubisoft","December 16, 1999"
Hashiriya: Ookami Tachi no Densetsu,Nihon Bussan,Nihon Bussan,"April 18, 1997"
Hatsukoi Valentine,Fill-in-Cafe,Family Soft,"July 31, 1997"
Hatsukoi Valentine Special,Family Softf,Family Soft,"November 5, 1998"
Haunted Junction: Seitokai Badge wo Oe!,MediaWorks,MediaWorks,"January 17, 1997"
HBO Boxing,Osiris Studios,Acclaim,Unreleased
Head to Toe 1,Lightspan,Lightspan,Unreleased
Head to Toe 2,Lightspan,Lightspan,Unreleased
Head to Toe 3,Lightspan,Lightspan,Unreleased
Head to Toe 4,Lightspan,Lightspan,Unreleased
Heart of Darkness,Amazing Studios,"Ocean Software, Interplay, Infogrames",Unreleased
"Heaven's Gate
•Yusha: Heaven's GatePAL",Atlus,"Atlus, JVC Music Europe","December 13, 1996"
Hebereke's PopoittoPAL•Hebereke Station PopoittoJP,Sunsoft,Sunsoft,"May 26, 1995"
Hei-Sek-Ki-In,Success,GameBank,"December 18, 1997"
Heisa Byouin,Visit,Visit,"April 20, 2000"
The Heiwa Otenki Studio,Aqua Rouge,Aqua Rouge,"March 29, 2001"
Heiwa Pachinko Graffiti Vol. 1,Aqua Rouge,Aqua Rouge,"December 9, 1999"
Heiwa Pachinko Graffiti Vol. 2,Aqua Rouge,Aqua Rouge,"December 9, 1999"
Heiwa Parlor! Pro: BunDoriKing Special,Namco,Namco,"December 27, 2001"
Heiwa Parlor! Pro: Dolphin Ring Special,Telenet,Nippon Telenet,"March 30, 2000"
Heiwa Parlor! Pro: Fujiko Nio-ma-ka-se Special,Mitsui Bussan,Mitsui Bussan,"December 28, 2000"
Heiwa Parlor! Pro: Inkappe Taishou Special,Telenet,Nippon Telenet,"August 10, 2000"
Heiwa Parlor! Pro: Lupin Sansei Special,Telenet,Nippon Telenet,"January 13, 2000"
Heiwa Parlor! Pro: Tsunatori Monogatari Special,Telenet,Nippon Telenet,"March 7, 2002"
Heiwa Parlor! Pro: Western Special,Telenet,Nippon Telenet,"February 3, 2000"
Hellboy: Asylum Seeker,DreamCatcher Interactive,"DreamCatcher Interactive, Wanadoo Edition",Unreleased
Hellnight•Dark MessiahJP,Atlus Co.,"Atlus Co., Konami","June 11, 1998"
Hello Kitty Block Kuzushi,Tamsoft,D3Publisher,"October 25, 2001"
Hello Kitty Bowling,Tamsoft,D3Publisher,"August 30, 2001"
Hello Kitty's Cube Frenzy•Hello Kitty: Cube de CuteJP,Culture Publishers,"Culture Publishers, NewKidCo","June 25, 1998"
Hello Kitty Illust Puzzle,Tamsoft,D3Publisher,"August 30, 2001"
Hello Kitty no Oshaberi ABC,Atlus,Atlus,"October 11, 2001"
Hello Kitty no Oshaberi Town,Atlus,Atlus,"December 14, 2000"
Hello Kitty no Uchi Nioi Deyo,Bandai,Bandai,"July 18, 2002"
Hello Kitty to Album Nikki o Tsukuri Masho!,Banpresto,Banpresto,"March 27, 2003"
Hello Kitty Trump,Tamsoft,D3Publisher,"October 25, 2001"
Hello Kitty: White Present,Hudson Soft,Hudson Soft,"December 17, 1998"
Herc's Adventures,LucasArts,"LucasArts, Virgin Interactive, Bullet Proof Software","June 25, 1998"
Herkules,The Code Monkeys,Phoenix Games,Unreleased
Hermie Hopperhead: Scrap Panic,SCEI,SCEI,"September 29, 1995"
Heroine Dream,Map Japan,Map Japan,"October 10, 1996"
Heroine Dream 2,Map Japan,Map Japan,"June 18, 1998"
Hexamoon Guardians,Increment-P,Increment-P,"March 30, 2000"
HeXen,Raven Software,"GT Interactive, GameBank","March 19, 1998"
Hi-Hou-Ou: Mou Omae Tobakuchi Kikan!!,Lay-Up,Lay-Up,"April 25, 1997"
Hi-Octane,Bullfrog Productions,"Electronic Arts, Electronic Arts Victor","January 13, 1996"
Hidden & Dangerous,Illusion Softworks,Take-Two Interactive,Unreleased
High Heat Baseball 2000,Team .366,The 3DO Company,Unreleased
High Heat Major League Baseball 2002,The 3DO Company,The 3DO Company,Unreleased
Highschool Kimengumi: The Table Hockey,Break,Bandai,"December 20, 2001"
High School of Blitz,Japan Media Programming,MediaWorks,"November 25, 1999"
Hikari no Shima: Seven Lithographs in Shining Island,Affect,Affect,"November 11, 1999"
Hikaru no Go: Heian Gensou Ibunroku,KCEJ,Konami,"May 30, 2002"
Hikaru no Go: Insei Choujou Kessen,Tenky,Konami,"December 19, 2002"
Himiko-Den Renge,Chime,Hakuhodo,"March 11, 1999"
Himitsu Kessha Q,Right Stuff,Right Stuff,"July 30, 1998"
Himitsu Sentai Metamor V Deluxe,Feycraft,Mycom,"October 15, 1998"
Hissatsu Pachi-Slot Station,SunSoft,SunSoft,"August 20, 1998"
Hissatsu Pachi-Slot Station 2,SunSoft,SunSoft,"September 28, 1998"
Hissatsu Pachi-Slot Station 3,SunSoft,SunSoft,"March 4, 2000"
Hissatsu Pachi-Slot Station 4,SunSoft,SunSoft,"July 27, 2000"
Hissatsu Pachi-Slot Station 5,SunSoft,SunSoft,"November 16, 2000"
Hissatsu Pachi-Slot Station SP,SunSoft,SunSoft,"December 16, 1999"
Hissatsu Pachi-Slot Station SP 2,SunSoft,SunSoft,"September 14, 2000"
Hissatsu Pachi-Slot Station SP 3,SunSoft,SunSoft,"January 1, 2002"
Hissatsu Pachinko Station,SunSoft,SunSoft,"September 13, 1996"
Hissatsu Pachinko Station 2,SunSoft,SunSoft,"December 25, 1997"
Hissatsu Pachinko Station 3,SunSoft,SunSoft,"December 17, 1998"
Hissatsu Pachinko Station 4,SunSoft,SunSoft,"March 11, 1999"
Hissatsu Pachinko Station 5,SunSoft,SunSoft,"June 10, 1999"
Hissatsu Pachinko Station 6,SunSoft,SunSoft,"July 1, 1999"
Hissatsu Pachinko Station 7,SunSoft,SunSoft,"November 25, 1999"
Hissatsu Pachinko Station 8,SunSoft,SunSoft,"March 30, 2000"
Hissatsu Pachinko Station 9,SunSoft,SunSoft,"June 8, 2000"
Hissatsu Pachinko Station 10,SunSoft,SunSoft,"October 19, 2000"
Hissatsu Pachinko Station Now,SunSoft,SunSoft,"September 30, 1999"
Hissatsu Pachinko Station Now 2,SunSoft,SunSoft,"December 22, 1999"
Hissatsu Pachinko Station Now 3,SunSoft,SunSoft,"February 3, 2000"
Hissatsu Pachinko Station Now 4,SunSoft,SunSoft,"July 6, 2000"
Hissatsu Pachinko Station Now 5,SunSoft,SunSoft,"July 19, 2000"
Hissatsu Pachinko Station Now 6,SunSoft,SunSoft,"November 16, 2000"
Hissatsu Pachinko Station Now 7,SunSoft,SunSoft,"December 28, 2000"
Hissatsu Pachinko Station Now 8: Jarinko Chie,SunSoft,SunSoft,"March 15, 2001"
Hissatsu Pachinko Station Now 9,SunSoft,SunSoft,"February 7, 2002"
Hissatsu Pachinko Station Puchi,SunSoft,SunSoft,"September 22, 1999"
Hissatsu Pachinko Station Puchi 2,SunSoft,SunSoft,"February 10, 2000"
Hissatsu Pachinko Station Toyomaru Special,SunSoft,SunSoft,"October 12, 2000"
Hissatsu Pachinko Station: Classic,SunSoft,SunSoft,"April 8, 1999"
Hissatsu Pachinko Station: Classic 2,SunSoft,SunSoft,"March 30, 2000"
Hissatsu Pachinko Station: Monster House Special,SunSoft,SunSoft,"October 29, 1998"
