titles,genre,developers,publishers
AirGrave,Santos,Santos,"November 29, 1996"
Aironauts,Red Lemon Studios,Red Storm Entertainment,Unreleased
The Airs,Victor Interactive Software,Victor Interactive Software,"March 25, 1999"
Aishiau Kotoshika Dekinai,Coconuts Japan,Coconuts Japan,"February 11, 1998"
Aitakute... Your Smiles in My Heart,KCET,Konami,"March 16, 2000"
Akagawa Jirou: Majotachi no Nemuri: Fukkatsusai,Open Sesame,Victor Interactive Software,"April 15, 1999"
Akagawa Jirou: Yasoukyoku,Open Sesame,Victor Interactive Software,"July 16, 1998"
Akagawa Jirou: Yasoukyoku 2,Office Create,Victor Interactive Software,"June 14, 2001"
Akagi: Touhaiden,"Micronet co., Ltd.","Micronet co., Ltd.","January 13, 1996"
Akazu no Ma,Visit,Visit,"May 9, 1997"
Akuji the Heartless,Crystal Dynamics,Eidos Interactive,Unreleased
Alex Ferguson's Player Manager 2001PAL•Guy Roux Manager 2001FR•DSF Fussball Manager 2001DE,Anco Software,"The 3DO CompanyNA, UbisoftDE,FR",Unreleased
Alex Ferguson's Player Manager 2002PAL•DSS Fussball Manager 2002DE,Anco Software,Ubisoft,Unreleased
Alexi Lalas International Soccer•Bomba:98PAL•Golden Goal 98PAL•Mundial:98PAL•Three LionsPAL,Z-Axis,"BMG InteractivePAL, Take-Two InteractivePAL,NA (Alexei Lalas, Golden Goal 98)",Unreleased
Alfred Chicken,Möbius Entertainment,SCEE,Unreleased
Alice in Cyberland,Glams,Glams,"December 20, 1996"
Alien: Resurrection,Argonaut Games,Fox Interactive,Unreleased
Alien Trilogy,Probe Entertainment,Acclaim Entertainment,"May 31, 1996"
ALIVE,General Entertainment Co. Ltd.,General Entertainment Co. Ltd.,"August 6, 1998"
All Japan Woman Pro Wrestling,TEN,GW,"July 23, 1998"
All-Star 1997 featuring Frank Thomas,Acclaim Entertainment,Acclaim Entertainment,Unreleased
All-Star Action,Mere Mortals,Phoenix Games,Unreleased
All-Star Mahjong: Kareinaru Shoubushi Kara no Chousen,Pony Canyon,Pony Canyon,"September 18, 1997"
All-Star Racing,Mud Duck Productions,Mud Duck Productions,Unreleased
All-Star Racing 2,Mud Duck Productions,Mud Duck Productions,Unreleased
All-Star Slammin' D-ballNA•Simple 1500 Series Vol. 76: The Dodge BallJP•Super Slammin' DodgeballEU,Access,"D3JP, AgetecNA, Midas Interactive EntertainmentPAL","October 25, 2001"
All Star Soccer,Eidos Interactive,Eidos Interactive,Unreleased
All Star Tennis '99•Yannick Noah All Star Tennis '99FR,Smart Dog,Ubisoft,"August 31, 1999"
All Star Tennis 2000,Aqua Pacific Ltd.,Ubisoft,Unreleased
All Star Watersports,Phoenix Games,Phoenix Games,Unreleased
Allied General,SSI,SSI,Unreleased
Alnam no Kiba: Juuzoku Juuni Shinto Densetsu,Right Stuff,Right Stuff,"February 2, 1996"
Alnam no Tsubasa: Shoujin no Sora no Kanata e,Right Stuff,Right Stuff,"December 25, 1997"
Alone in the Dark: One-Eyed Jack's RevengeNA•Alone in the Dark: Jack is BackPAL,Infogrames,Infogrames (Europe)  I*Motion (North America),"November 8, 1996"
Alone in the Dark: The New Nightmare,Darkworks SA,Infogrames,Unreleased
Alundra•The Adventures of AlundraPAL,Matrix Software,"SCEIJP, Working DesignsNA, PsygnosisPAL","April 11, 1997"
Alundra 2: A New Legend Begins,Matrix Software,"SCEIJP, Activision","November 18, 1999"
The Amazing Virtual Sea-Monkeys,Creature Labs,Kemco,Unreleased
America Oudan Ultra-Quiz,Pegasus Japan,Victor Interactive Software,"February 23, 1996"
American Pool,Midas Interactive,Midas Interactive,Unreleased
Amerzone,Microids,Casterman,Unreleased
Anastasia,Midas Interactive,Midas Interactive,Unreleased
Ancient Roman: Power of Dark Side,Nihon Bussan,Nihon Bussan,"April 23, 1998"
Andretti Racing,Electronic Arts,Electronic Arts,Unreleased
Angel Blade: Neo Tokyo Guardians,Nippon,Ichi Soft,"July 3, 1997"
Angel Graffiti: Anathe no Profile,Coconuts Japan,Coconuts Japan,"July 26, 1996"
Angelique Duet,Koei,Koei,"July 30, 1998"
Angelique History,Koei,Koei,"March 30, 2000"
Angelique Special,Koei,Koei,"March 29, 1996"
Angelique Special 2,Koei,Koei,"April 11, 1997"
Angelique: Tenkū no Requiem,Koei,Koei,"February 4, 1999"
Angolmois 99,Success,Success,"August 26, 1999"
Animal Football,The Code Monkeys,Phoenix Games,Unreleased
Animal Snap,Ignition,Ignition,Unreleased
Animaniacs: Ten Pin Alley,Saffire,ASC Games,Unreleased
Animetic Story Game 1: Cardcaptor Sakura,Arika,Arika,"August 5, 1999"
Animorphs: Shattered Reality,SingleTrac,Infogrames,Unreleased
Ankh: Tutankhamen no Nazo,Ray Corporation,Ray Corporation,"November 27, 1997"
Anoko Doko Noko,Success,Success,"August 6, 1998"
Another Memories,Starlight Marry,Hearty Robin,"June 18, 1998"
Another Mind,Squaresoft,Squaresoft,"November 12, 1998"
Ao no Roku-gō,Bandai,Bandai,"September 28, 2000"
Ao Zora to Nakama Tachi: Yume no Bouken Plus,MTO,MTO,"November 13, 2003"
Aoki Ookami to Shiroki Mejika: Genchou Hishi,Koei,Koei,"September 17, 1998"
Ape Escape•Saru! Get You!JP,Sony Computer Entertainment Inc.,Sony Computer Entertainment Inc.,"June 25, 1999"
Apocalypse,Neversoft,"ActivisionPAL,NA, SuccessJP","September 22, 1999"
Aqua GT,East Point Software,Take 2 Interactive,Unreleased
Aqua Paradise: Boku no Suizokukan,Open Sesame,Victor Interactive Software,"December 28, 2000"
Aquanaut's Holiday,Artdink,"ArtdinkJP, SCEANA, SCEEPAL","June 30, 1995"
Aquanaut no Kyuujitsu: Memories of Summer 1996,Artdink,Artdink,"July 19, 1996"
Aquanaut no Kyuujitsu 2,Artdink,Artdink,"July 1, 1999"
Aquarian Age: Tokyo Wars,Broccoli,ESP Software,"May 25, 2000"
Arc the Lad,SCEI,SCEI/Working Designs,"June 30, 1995"
Arc the Lad II,ARC Entertainment,SCEI,"November 1, 1996"
Arc the Lad III,ARC Entertainment,SCEI,"October 28, 1999"
Arc the Lad: Monster Game with Casino Game,ARC Entertainment,SCEI,"July 31, 1997"
Arcade Hits: Crazy Climber,Nichibutsu,Hamster,"May 23, 2002"
Arcade Hits: Moon Cresta,Nihon Bussan,Nihon Bussan,"June 20, 2002"
Arcade Hits: Raiden,Hamster,Hamster,"November 28, 2002"
Arcade Party Pak,Digital Eclipse Software,Midway Games,Unreleased
Arcade's Greatest Hits: The Atari Collection 1,Digital Eclipse Software,Midway Games,Unreleased
Arcade's Greatest Hits: The Atari Collection 2,Digital Eclipse Software,Midway Games,Unreleased
Arcade's Greatest Hits: The Midway Collection 2,Digital Eclipse Software,GT Interactive,Unreleased
Archer Mclean's 3D Pool,Awesome Studios,Ignition,Unreleased
Are! Mo Kore? Mo Momotarou,System Sacom,System Sacom,"October 4, 1996"
Area 51,Mesa Logic,"Time Warner Interactive, Soft BankJP","March 20, 1997"
Ark of Time,Trecision S.p.A.,Project Two Interactive BV,Unreleased
Arkana Senki Ludo,Falcon,Pai,"July 9, 1998"
Arkanoid Returns,Taito Corporation,Taito Corporation,"August 7, 1997"
Armed Fighter,Banpresto,Banpresto,"March 4, 1999"
Armored Core,FromSoftware,"FromSoftwareJP, AgetecNA, Sony Computer EntertainmentPAL","July 10, 1997"
Armored Core: Master of Arena,FromSoftware,"FromSoftwareJP, AgetecNA","February 4, 1999"
Armored Core: Project Phantasma,FromSoftware,"FromSoftwareJP, ASCII EntertainmentNA","December 4, 1997"
Armorines: Project S.W.A.R.M.,Acclaim Studios London,Acclaim Entertainment,"July 13, 2000"
Army Men 3D,The 3DO Company,The 3DO Company,Unreleased
Army Men: Air Attack,The 3DO Company,The 3DO Company,Unreleased
Army Men: Air Attack 2,The 3DO Company,The 3DO Company,Unreleased
Army Men: Green Rogue,The 3DO Company,The 3DO Company,Unreleased
Army Men: Sarge's Heroes,The 3DO Company,The 3DO Company,Unreleased
Army Men: Sarge's Heroes 2,The 3DO Company,The 3DO Company,Unreleased
Army Men: World War•Army Men: Operation MeltdownPAL,The 3DO Company,The 3DO Company,Unreleased
Army Men: World War - Final Front•Army Men: Lock N' LoadPAL,The 3DO Company,The 3DO Company,Unreleased
"Army Men: World War - Land, Sea, Air",The 3DO Company,The 3DO Company,Unreleased
Army Men: World War - Team Assault•Army Men: Team AssaultPAL,The 3DO Company,The 3DO Company,Unreleased
Art Camion Geijutsuden,TYO,TYO,"December 16, 1999"
Art Camion Sugorokuden,Affect,Affect,"April 27, 2000"
Arthur! Ready to Race,Mattel,The Learning Company,Unreleased
Arthur to Astaroth no Nazomakaimura: Incredible Toons,Magical Formation,Capcom,"August 30, 1996"
Arubarea no Otome ~Uruwashi no Seishikitachi~,NCS,NCS,"October 8, 1998"
Ason de Chinou Up,Gakken,Gakken,"December 11, 2003"
Asonde Aiueo,Gakken,Gakken,"May 29, 2003"
Asonde Kazu Suuji,Gakken,Gakken,"May 29, 2003"
Assault: Retribution,Candle Light Studios,"TelstarPAL, MidwayNA",Unreleased
Assault Rigs,Psygnosis,Psygnosis,"October 4, 1996"
Assault Suits Valken 2,TamTam,NCS,"July 29, 1999"
Asterix,Sourcery,Infogrames,Unreleased
Asterix & Obelix Take On Caesar,Tek 5,Cryo Interactive,Unreleased
Asterix: Mega Madness,Unique Development Studios,Infogrames,Unreleased
Asteroids,Activision,Syrox Developments,Unreleased
Astronōka,System Sacom,Enix,"August 27, 1998"
Asuka 120% Final: Burning Fest. Final,Family Soft,Family Soft,"May 27, 1999"
Asuka 120% Excellent: Burning Festival,Fill-in-Cafe,SCEI,"May 9, 1999"
Asuka 120% Special Burning Fest,Fill-in-Cafe,Family Soft,"March 29, 1996"
Asuncia - Majou no Jubaku,E.O. Imagination,Xing Entertainment,"November 27, 1997"
Atari Anniversary Edition Redux,Digital Eclipse Software,Infogrames,Unreleased
Atelier Elie: The Alchemist of Salburg 2,Gust,Gust,"December 17, 1998"
Athena: Awakening from the Ordinary Life,Vistec,SNK,"March 11, 1999"
Athena no Kateiban: Family Game,Athena,Athena,"March 22, 1996"
Atlantis: The Lost Empire,Eurocom Entertainment Software,SCEA,Unreleased
"Atlantis, the Lost Continent",The Code Monkeys,Phoenix Games,Unreleased
Atlantis: The Lost Tales,Cryo Interactive,Cryo Interactive,Unreleased
Attack of the Saucerman,Psygnosis,SCEE,Unreleased
ATV Mania,Gotham Games,Take 2 Interactive,Unreleased
ATV Racers,Midas Interactive,Bethesda Software,Unreleased
ATV: Quad Power Racing,Climax Studios,"Acclaim Entertainment, Acclaim JapanJP","December 21, 2000"
AubirdForce,Bandai,Bandai,"October 25, 1996"
AubirdForce After,Bandai,Bandai,"October 22, 1998"
Aura Battler Dunbine,Bandai,Bandai,"March 4, 2000"
