titles,developers
Batman: Arkham Origins,WB Games Montréal
Batman: The Dark Knight,Pandemic Studios
Batman: The Telltale Series,Telltale Games
Battle Fantasia,Arc System Works
Battle of Tiles EX,Bimboosoft
Battle Tanks,Gameloft
Battle vs. Chess,Targem Games / Zuxxez Entertainment
Battle: Los Angeles,Live Action Studios
Battlefield 1943,EA DICE
Battlefield 3,EA Digital Illusions CE
Battlefield 4,EA Digital Illusions CE
Battlefield Hardline,EA Digital Illusions CE
Battlefield: Bad Company,EA Digital Illusions CE
Battlefield: Bad Company 2,EA Digital Illusions CE
Battle Princess of Arcadias,ApolloSoft
Battleship,Double Helix Games
Bayonetta,PlatinumGames
Beat Hazard Ultra,Cold Beam Games
Beat Sketcher,Japan Studio
Beautiful Katamari,Bandai Namco Entertainment
The Beatles: Rock Band,Harmonix Music Systems
Beer Pong!,JV Games
Beijing 2008,Eurocom
Bejeweled 2,PopCap Games
Bejeweled 3,PopCap Games
Bellator: MMA Onslaught,Kung Fu Factory
Ben 10: Galactic Racing,D3 Publisher
Ben 10: Omniverse,D3 Publisher
Ben 10: Omniverse 2,D3 Publisher
Ben 10 Ultimate Alien: Cosmic Destruction,D3 Publisher
Bentley's Hackpack,Sanzaru Games
Beowulf: The Game,Ubisoft Shanghai
"Best of Arcade Games (Air Hockey, Brick Breaker, Bubble Buster, Tetraminos)",Bigben Interactive
"Best of Board Games (Chess, Mahjong, Solitaire)",Bigben Interactive
Best of PlayStation Network Vol. 1,SCEA
Beyond Good & Evil HD,Ubisoft Shanghai
Beyond the Future: Fix the Time Arrows,M2
Beyond: Two Souls,Quantic Dream
Bikkuri Pachinko: Ashita no Joe – Kyoraku Collection Vol.1,Kyoraku Sangyou Holdings
Big Sky Infinity,Boss Baddie
Bionic Commando,GRIN
Bionic Commando Rearmed,GRIN
Bionic Commando Rearmed 2,Fatshark
Binary Domain,Sega Japan
BioShock,Irrational Games / 2K Marin
BioShock 2,2K Marin / Digital Extremes / 2K Australia / 2K China / Arkane Studios
BioShock Infinite,Irrational Games
Birds of Steel,Gaijin Entertainment
Black Knight Sword,Grasshopper Manufacture
Blacklight: Tango Down,Zombie Studios
BlackSite: Area 51,Midway Studios Austin
Blade Arcus from Shining EX,Sega
Blade Kitten,Krome Studios
Blades of Time,Gaijin Entertainment
Bladestorm: Nightmare,Koei Tecmo Games
Bladestorm: The Hundred Years' War,Omega Force
Blast Factor[147],Bluepoint Games
BlazBlue: Calamity Trigger,Arc System Works
BlazBlue: Central Fiction,Arc System Works
BlazBlue: Continuum Shift,Arc System Works
BlazBlue: Continuum Shift Extend,Arc System Works
BlazBlue: Chrono Phantasma,Arc System Works
BlazBlue: Chrono Phantasma Extend,Arc System Works
BlazeRush,Targem Games
Blazing Angels: Squadrons of WWII,Ubisoft Bucharest
Blazing Angels 2: Secret Missions of WWII,Ubisoft Bucharest
Bleach: Soul Resurrección,Japan Studio
Blitz: The League II,Midway Games
Blokus,Gameloft
Blood Drive,Sidhe
Blood Knights,Dtp entertainment
Blood of the Werewolf,Scientifically Proven
BloodBath: Fight for your life,UIG
BloodRayne: Betrayal,WayForward Technologies
Blue-Collar Astronaut,Mutated Software
Blue Toad Murder Files,Relentless Software
Blur,Bizarre Creations
Bodycount,Codemasters Studios Guildford
Boku no Natsuyasumi 3,Millennium Kitchen
Bolt,Avalanche Software
Bomberman Ultra,Hudson Soft
Bonk: Brink of Extinction,Pi Studios
Borderlands,Gearbox Software
Borderlands 2,Gearbox Software
Borderlands: The Pre-Sequel!,2K Australia
Bound by Flame,Spiders
Braid,Hothead Games
Brain Challenge,Gameloft
Brave: The Video Game,Behaviour Interactive
Brink,Splash Damage
Brothers: A Tale of Two Sons,Starbreeze Studios
Brothers in Arms: Furious 4,Gearbox Software
Brothers in Arms: Hell's Highway,Gearbox Software
Brunswick Pro Bowling,FarSight Studios
Brütal Legend,Double Fine Productions
Bulletstorm,People Can Fly
BurgerTime World Tour,Frozen Codebase
Burn Zombie Burn,Doublesix
Burnout Crash!,Criterion Games
Burnout Paradise,Criterion Games
Buzz!: Brain of the World,Relentless Software
Buzz! Junior: Dino Den,Cohort Studios
Buzz! Junior: Jungle Party,Cohort Studios
Buzz! Junior: Monster Rumble,Cohort Studios
Buzz! Junior: Robo Jam,Cohort Studios
Buzz!: Quiz Player,Relentless Software
Buzz!: Quiz TV,Relentless Software
Buzz!: Quiz World,Relentless Software
Buzz!: The Ultimate Music Quiz,Relentless Software
Cabela's Adventure Camp,Cauldron
Cabela's African Adventures,Activision
Cabela's Big Game Hunter 2010,Cauldron HQ
Cabela's Big Game Hunter 2012,Cauldron HQ
Cabela's Big Game Hunter: Pro Hunts,Cauldron
Cabela's Dangerous Hunts 2009,Sand Grain Studios
Cabela's Dangerous Hunts 2011,Activision
Cabela's Dangerous Hunts 2013,Activision
Cabela's Hunting Expeditions,Fun Labs
Cabela's North American Adventures,Fun Labs
Cabela's Outdoor Adventures,Activision
Cabelas Survival: Shadows of Katmai,Fun Labs
Caladrius Blaze,MOSS
Call of Duty 3,Treyarch
Call of Duty 4: Modern Warfare,Infinity Ward
Call of Duty Classic,Infinity Ward
Call of Duty: Modern Warfare 2,Infinity Ward
Call of Duty: Modern Warfare 3,"Infinity Ward, Sledgehammer Games"
