titles,genre,developers,publishers
Assassin's Creed III,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft
Assassin's Creed: Liberation HD,Action & Adventure,Ubisoft Sofia,Ubisoft
Assassin's Creed IV: Black Flag,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft
Assassin's Creed Rogue,"Action-adventure, stealth",Ubisoft Sofia,Ubisoft
Assassin's Creed: Brotherhood,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft
Assassin's Creed: Revelations,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft
Assault Heroes,Action & Adventure,Wanako Games,Xbox Game Studios
Assault Heroes 2,Action & Adventure,Wanako Games,Vivendi Games
Asterix at the Olympic Games,Sports,Étranges Libellules,Atari
Asteroids/Asteroids Deluxe,Classics,Stainless Games,Atari
AstroPop,Puzzle & Trivia,PopCap Games,Xbox Game Studios
Asura's Wrath,"Action, Beat 'em up",CyberConnect2,Capcom
Attack of the Movies 3D,Rail Shooter,Panic Button,Majesco Entertainment
A-Train HX,Train Sim,Artdink,"505 GamesEU, ArtdinkJP"
Autobahn Polizei,Racing,Tommo,Conspiracy Entertainment
Avatar FameStar,Party Game,Xbox Game Studios,Xbox Game Studios
Avatar: The Last Airbender – The Burning Earth,Action-adventure,THQ,THQ
Awesomenauts,Platformer,Ronimo Games,dtp entertainment
Axel & Pixel,Family & Educational,Silver Wish Games,2K Games
Babel Rising,Kinect,Mando Productions,Ubisoft
Back to the Future: The Game,Graphic adventure,Telltale Games,Telltale Games
Backbreaker,Sports,NaturalMotion,505 Games
Backbreaker: Vengeance,Sports & Recreation,NaturalMotion,505 Games
Backyard Football 2010,Sports,FarSight Studios,Atari
Backyard Sports: Rookie Rush,Sports,HB Studios,Atari
Backyard Sports: Sandlot Sluggers,Sports,HB Studios,Atari
Baja: Edge of Control,Racing,2XL Games,THQ
Bakugan Battle Brawlers,Action,Now Production,Activision
Bakugan: Defenders of the Core,Action,Now Production,Activision
Band Hero,Music,Neversoft,Activision
Band of Bugs,Strategy & Simulation,NinjaBee,Xbox Game Studios
BandFuse: Rock Legends,Music,Realta Entertainment Group,Mastiff
Bang Bang Racing,Racing & Flying,Digital Reality,Digital Reality
Bangai-O HD: Missile Fury,Shooter,Treasure,D3 Publisher
Banjo-Kazooie,Classics,Rare/4J Studios,Xbox Game Studios
Banjo-Kazooie: Nuts & Bolts,"Platformer, Construction and management simulation",Rare,Xbox Game Studios
Banjo-Tooie,Classics,Rare/4J Studios,Xbox Game Studios
Bankshot Billiards 2,Sports & Recreation,PixelStorm,Xbox Game Studios
Barbie and her Sisters: Puppy Rescue,Party,Little Orbit,Little Orbit
Bass Pro Shops: The Strike,"Hunting,Fishing",Piranha Games,XS Games
Bass Pro Shops: The Hunt,"Hunting,Fishing",Piranha Games,XS Games
Bastion,Role Playing,Supergiant Games,Warner Bros. Interactive Entertainment
Batman: Arkham Asylum,Action-adventure,Rocksteady Studios,Warner Bros. Interactive Entertainment
Batman: Arkham City,Action-adventure,Rocksteady Studios,Warner Bros. Interactive Entertainment
Batman: Arkham Origins,Action-adventure,WB Games Montréal,Warner Bros. Interactive Entertainment
Batman: Arkham Origins Blackgate - Deluxe Edition,Action & Adventure,Armature Studio,Warner Bros. Interactive Entertainment
Batman: The Telltale Series,Graphic adventure,Telltale Games,Telltale Games
Battle Academy,Strategy & Simulation,Slitherine,Slitherine
Battle Fantasia,Fighting,Arc System Works,Arc System Works
Battle vs. Chess,Board Game,"TopWare Interactive, Gaijin Entertainment",SouthPeak Games
Battle: Los Angeles,Action & Adventure,Live Action Studios,Konami
BattleBlock Theater,Action & Adventure,The Behemoth,Xbox Game Studios
Battlefield 1943,Shooter,EA DICE,Electronic Arts
Battlefield 2: Modern Combat,First-person shooter,EA Digital Illusions CE,Electronic Arts
Battlefield 3,First-person shooter,EA Digital Illusions CE,Electronic Arts
Battlefield 4,First-person shooter,EA Digital Illusions CE,Electronic Arts
Battlefield Hardline,First-person shooter,Visceral Games,Electronic Arts
Battlefield: Bad Company,First-person shooter,EA Digital Illusions CE,Electronic Arts
Battlefield: Bad Company 2,First-person shooter,EA Digital Illusions CE,Electronic Arts
Battleship,First-person shooter,Double Helix Games,Activision
Battlestar Galactica,Action,N3V Games,Sierra Entertainment
Battlestations: Midway,"Action, Real-time tactics",Eidos Interactive,"Eidos Interactive, Spike JP"
Battlestations: Pacific,"Action, Real-time tactics",Eidos Interactive,Eidos Interactive
Battlezone,Classics,Stainless Games,Atari
Bayonetta,"Action, hack and slash",PlatinumGames,Sega
Beat'n Groovy,Action & Adventure,"Voltex, Inc.",Konami
Beautiful Katamari[note 4],"Puzzle, Action, Third-person",Namco Bandai Games,Namco Bandai Games
Bee Movie Game,"Action, Adventure",Beenox,Activision
Beijing 2008,Sports,Eurocom,Sega
Bejeweled 2,Puzzle & Trivia,PopCap Games,PopCap Games
Bejeweled 3,Puzzle & Trivia,PopCap Games,PopCap Games
